,prolific_pid,bonus_amount
1,57e00216995a0b0001635a8a,1.95
2,58ef502445de510001b5dd64,1.9
3,55057a56fdf99b5b566a70bb,2.05
4,5955b6df620d1400019f2787,1.75
5,592621a771d4fe00012ce948,1.55
6,5892537355550f0001509c35,1.75
7,59707bf16c75db0001fea43f,1.9
8,5996f2df6b939900012d9f5e,1.65
9,5950cf2c4df2c40001bf8711,2.75
10,572b3753f1d1a50009d14868,1.45
11,5827643d81f5db0001266adb,2.45
12,5a01dd7b728b1b0001ad8acb,1.8
13,5640ee4a17bdbe00062a0a40,1.2
14,5969e7c6739fc30001e0af37,1.75
15,59734dd5b3513600013e2327,1.65
16,55cff4a834e9060012e57407,2
17,595fa59caa841c00018d7225,1.95
18,595b6e5a7c76640001aa9339,2.2
19,57b248d52075e2000113ba3d,2.2
20,5999821e6c165e000113fb3a,1.7
21,576a170d688a5c00018d95f0,2
22,572f8258ad13160010008a61,2.5
23,5884be522527340001c05540,1.6
24,5629e780c8ffc20012513ed4,2.3
25,597ce9658a05ba00010a57b8,3.3
26,58824a5e5edfd900013ebce2,1.65
27,59f229858ec0eb0001f6f797,1.9
28,575719887d985200078b9c7d,1.95
29,58d92cae33fef3000118a7e9,1.9
30,58c5455ac7ed3f000116d32c,1.95
31,5720df88951c9b0011d3e081,2
32,546a979ffdf99b3f01f121a2,2.15
33,598b58874972b300010745d7,2
34,594ad91fa6fb8200018f720c,2.5
35,596c562b84e10f00018464e9,1.7
36,56a938f911926500056eaa53,1.65
37,595fd2bbf21cad00015d3c1c,1.45
38,569d48e69e8363000c30a6b9,2.4
39,57b42710dc8f860001b97698,1.95
40,562be962733ea0000f162ade,2.45
41,59417543c768a500011c9731,2.45
42,59410616048d06000182fde7,2.5
43,5960f41387bef300013a4b6a,1.7
44,595cd88562431800019d691a,2.35
45,5744378654636a000e7865fe,1.85
46,594abd98215cbd000146debc,1.55
47,5912691bd8e75a000120900c,1.4
48,58413489d0f9ec000178a3ae,2.5
49,595141b56d3780000120dad6,1.75
50,545ccd3efdf99b75ad2e325c,1.85
51,58f0aaf652ac63000154a804,1.55
52,569fe204926a1b0006df21d2,2.25
53,5836e4bda37e9b000108c2ac,1.8
54,5924077f6d61360001a7915f,2.3
55,58f50c104bf83e000199ec4e,1.9
56,56c18af6eb5b22000d5bad24,1.55
57,592adb3ba0c89900019f215e,2.15
58,56f91ae77f69ff000aff9a09,1.95
59,595ac873d8bd8d000154dac1,1.7
60,58fa0a2fef92ae0001b9094f,2
61,57d5ab3a722df500017f3622,1.65
62,595b93cde11c9d0001522564,1.65
63,59860c81d75d360001b0bd95,1.7
64,583d5e69d328040001072fbc,1.65
65,59025280d17178000141a7dd,1.55
66,58945848b5496d00018cfe1b,1.45
67,56b4fd68a9d33a000a891ff9,2.9
68,58caad248158840001b5d4ff,2.1
69,59f73a497eb03300015a9091,1.9
70,596f003434773e0001fc0d28,1.85
71,59f739194d0c2400019b7333,2.25
72,59f592bffb6ef2000148ee94,2.15
73,59e8174e896cfc0001921cb6,2.55
74,59f59083c57c8d00013e4a40,2.25
75,59f2099c40f6e4000168d916,2.9
76,596e1af7a09655000197d4bb,2.4
77,594c69ee4b07c400013aa466,2.7
78,5596cdbbfdf99b3b5597ba91,2.5
79,56c1adb60aab29000b7d559d,1.65
80,57886b106cc44500010441f5,1.65
81,573351b77d01ed000e8e9655,2.4
82,596e6e5cd7919800014b49b8,1.6
83,5933e8cbf0150b0001734c49,2.2